rating,cleaned_review
5,"We tasted some of traditional and national plates in vegan version that we enjoyed a lot. We tasted vegan momo, peanut sadeko (cold salad with peanut) and khalija set (rice flakes with vegetables and pickeld veggies). They also have a vegan cake on the menu! The personeel is very informed about veganism. The place is on a terrace in mandala street that is a pedonal street in Kathmandu. There are also two cats, very cute that just want to be petted."
5,Very tasty! Try nepalian starters!
5,One of the few restaurants in Thamel where they seem happy to adjust to wishes. The atmosphere is so good and the stuff is very helpful and so understanding. Highly recommend!
5,Took a friend for dinner here and this place is so wholesome. The owners were kind and hospitable folks. The food was great. My personal favorite was the slice of cashew vegan cake.
5,The food was really good and super fresh. Price is reasonable. Atmosphere was very cute and staff were attentive and friendly.
5,"We visited the restaurant in the evening and enjoyed a nice view, a pleasant green atmosphere, and tasty meals. The service was great, and the staff were friendly and welcoming.

It's located on the 3rd floor, which keeps you away from the hectic street below and gives you the chance to spend a calm evening -- chatting with friends and enjoying good food."
5,"Amazing chill place, enjoyed guacamole salad and mango lassi, must visit"
5,"We absolutely loved the food and atmosphere here! We even went back multiple times. If you're looking for a cozy spot to relax, I recommend visiting in the afternoon and enjoying the sunset. And for all you cat lovers out there, there are two adorable cats here who love to snuggle up right next to you."
5,"Delicious food, incredible ambience, and excellent service highly recommend for anyone visiting Kathmandu and looking for a healthy delicious authentic cuisine to enjoy for a really good price. Roshan did a great job!"
5,"I came to this place several times, both before and after my trek, and it was the first spot I wanted to eat at when I got back.

I've tried the pesto pasta, various salads, and juices, and everything was absolutely delicious. The food tastes fresh, and you can tell they put care into the presentation also.

The space is super comfortable, all open with cozy chairs and couches. There's also the cutest cat that hangs around, which adds to the charm. The staff are really friendly, and honestly, I love everything about this place. Definitely my favorite spot in town!"
5,"Very good chilled spot. Goats cheese and beetroot salad was a bit light on goats cheese for my taste, but very fresh and tasty. That's definitely a starter rather than a main, btw. 3rd floor rooftop location means you're away from the bustle of Thamel. No music when I was there (mid afternoon), so perfect spot for reading. Nice decor, comfy sofas, loads of plants, and a super friendly, gorgeous white cat which curled up on my lap as soon as we met. Would recommend!"
5,Very good!
5,"Good food and reasonable prices. However, no view. We expected to see the street from above, but it was blocked by trees and buildings. Friendly and helpful staff."
5,Excellent customer service
1,"Me and my partner contracted gastroenteritis after eating here after lunch on May 18th 2025.
I suspect it was the chicken balls from the chicken platter. I tasted they were old chicken but assumed they'd be safe, they weren't   
As customers, we prefer fresh food and are happy to pay the price to get it. It appears forest and plate were cutting corners in this regard.
I had high expectations for this restaurant, i ate here twice, and both meals were sadly disappointing. The food lacked originality and punch. Can't remember tasting herbs or spices "
5,"Very fresh and delicious food. The service is also very good. Like the place, one of the better resto's in Thamel."
5,Excellent salads and pasta with an amazing ambience at the rooftop. Highly recommend the forest salad!
4,Nice place at Thamel
5,"vvyrh tvbh, vkl nqy vt`ym , mkhyr tvb ,
mgvvn sltym mtsvynym vshyrvt mtsvyn"
5,"We started with their cheese balls--so good! We got a table right away, drinks came fast, and the food was both quick and delicious. Definitely end with the vegan cashew dessert, it's a winner!"
5,"We were excited to have a salad post trek and Forest & Plate did not disappoint! Such nice options, and so tasty, and really generous portions! The simple dressing was delicious too. And who knew...you can get a Long Island Iced Tea (as my husband did) or other fun and strong cocktails as well as nice fresh juices. You do have to be committed to haul yourself up the stair, but once up there, it feels like you are in a tree house - such a cool atmosphere in the middle of this bustling shopping area. Definitely worth it!! The resident cat cruising around was an added bonus too!"
5,"This is an incredible place that has everything you are looking for - a wonderful location, gentle music, true atmosphere of Nepalese beauty, delicious food and perfect refreshing drinks. My favorite with ginger and mint, and the most delicious vegan momo I've ever tasted.
And of course a great people! The staff and owners greet you with a kind sincere look and friendly conversation.
This place has a real soul and you definitely want to come back here again and again. Thank you very much and definitely hope to see you next time."
5,Roof top resturant with a charming atmosphere and good food ans drinks. They are 2 cats that live there to witch is allways a plus
5,This place is absolutely INCREDIBLE. I was only in Kathmandu for two days prior to a trek but couldn't resist coming here three times. The salads are out of this world and the prices are so realistic. I leave here feeling so healthy. Highly highly recommend!!
5,"Took a group of 10 and had the most wonderful experience. Great food, great atmosphere and service. Cool location in Thamel.

Food here is very clean, greens and veggies sourced locally and washed with purified water. Staff is warm and inviting and it is open air on the top floor, with a neat look down on mandala street. Do yourself a favor and stop in for a nice treat or dinner.

Many juices and drinks on menu as well as a great bar for the harder varieties."
5,"Found down a quaint street off a main road, this place is up 3 flights of stairs, very unassuming but once inside is like a magical rainforest cafe. The food was exceptional, as was the service. The salads were clean and delicious and the pasta was also fresh and healthy. 100% recommend if you are looking for fresh options."
5,Thank you ! It was delicious
5,I've been in Nepal for several weeks now and keep coming back to this amazing place for fresh salads and clean nourishing food. Everything I've tried on the menu is delicious! Very lovely staff and a cute resident cat that loves to wander past! Highly recommend
5,"qvmh khrvnh bbynyyn, n`ym nqy t`ymmmmm"
5,Blooming marvellous. Very helpful staff. Great menu. Nice prices. What is there not to like about this place.
5,"I passed by this vegetarian restaurant, it looked nice, and it turns out they have amazing food!
I ordered an avocado salad, I almost finished it, even though I was a small eater!

And the restaurant was partial outdoor seating with a plenty of plants inside which was super relaxing"
5,"Dining area is so comfortable, nice fresh air, on the rooftop, very cosy outdoor spacious seating space - nice casual ambiance and welcoming atmosphere

Service is patient and friendly and welcoming, and they also have cute cats around too

Open kitchen can see everything being cooked , made to order, food is served Nice and warm - absolutely delicious!!

Level 4 have to walk up stairs , a bit hard to find at first

Known for their salad bar with pasta options but I opted for some of their Nepalese options
#Aalu Tama Rs 235
#Vegetarian Momo Rs 290
#Cashew Cake Rs 390

First time trying Aalu Tama-- Predominantly sour soup with a kick of hot spice, very comforting perfect for the warm weather, With beans, potatoes, bamboo shoots and lots of spices, loaded with flavour!!

I saw the other customers get a green veggie pasta which looked so creamy and delicious so might have to try that next time.

Momos were good , filling was quite spicy, well seasoned, the wrapper was nice and thin but held together nicely

Cashew cake was sensational, so creamy and smooth- was nutty and velvety like silken tofu texture and the base was so firm, warm, crunchy and nutty with dried fruits, like a granola x carrot cake mixture and had a sweetness to it which wasn't overpowering but complemented the dessert really well

Highly recommend would come back"
4,"Very good food and drinks. The service was very kind. The place is also nice except for the cat that is jumping all over the places (tables, chairs, bar counter)."
4,"Sehr gutes Essen, tolle Leute arbeiten dort, aber die Preise sind deutlich uber dem lokalen Durchschnitt!"
5,"Beautiful fresh food in an equally beautiful setting- a relaxed verdant oasis tucked away above the hustle of the city. Friendly and welcoming, we left with our bellies full and our spirits lifted. Thank you!"
5,Fantastic spot. Best dal bhat i've had during my travels in Nepal (that says a lot!). The vegan panna cotta was phenomenal!
5,"The Guacamole salad was very tasty, fresh and filling and the staff were sweethearts"
5,"Amazing Cajun Himalayan Pasta! If you're looking for flavor, carbs, chicken, and some veggies, highly recommend this dish. Food came out fast. Service was great. Highly recommend~"
5,"Amazing food at a very reasonable price for the high quality that you get, great service and cozy atmosphere. Highly recommend"
4,"It's a good restaurant on the fourth floor, but there's no elevator. The food is good, the staff is polite and well-mannered, and the environment is beautiful.There is a open kitchen and you can watch the food being cooked there."
5,Nice
5,"Whenever I am in Kathmandu, I come here every day! I just love the ambience, friendly staff (and cats!), chilled vibe and great food made with fresh products. Always exactly what I need after a long flight or trekking. Thank you Forest & Plate for making my stay in Kathmandu :)"
5,Great food yummy cocktails good vegetarian
5,"Beautiful atmosphere, service and food. A tiny forest in thamel"
5,I asked AI where I should eat and this was at the top of the list. It did not disappoint incredible food and very attentive friendly staff. You can tell they genuinely care about the food and your experience.
5,"Best food & price, open kitchen, very clean"
1,Das Lokal gibt es nicht mehr - trotz der Hinweisschilder! Der Aufstieg lohnt sich also nicht!
1,If you are in anyway concerned about your health I'd say you may want to avoid This place. In all honesty we read the positive reviews and rocked up. Well the reality to the experience is a very different matter. We left. Immediately after reading some of the negative reviews and looking around I'm not surprised it was dead.
5,"Delicious food here, in a nice and quiet upstairs garden.

We had momos, a salad, cheese balls and pasta. All were absolute delicious!!

Highly reccomened this restaurant if you are in Kathmandu and you want something fresh, healthy and delicious :)"
5,Sooo good and healthy. And vibe is on point! Had the best service and it's so cozy...there was even a blanket for the colder nights here. Definitely coming back!
5,"Personale davvero super gentile e attento alle richieste del cliente, cibo buono e prezzi giusti. Molto bravi"
5,Wspaniale jedzenie i wystroj
3,"Pretty good food. Avoid the cashew cake dessert -it's like the top off a can of coconut cream shmeared on a biscuit base. Panacotta much better. Beware they charge an excess for debit card payments, even if you have a Nepali rupee card."
5,"Lovely restaurant with great fresh salads, juices and lovely staff!"
5,"Helaas ontdekte ik deze plek pas op mijn laatste dag in KTM, anders was ik zeker teruggekomen. Het eten is heerlijk en gezond. Je krijgt grote porties tegen lage prijzen en het personeel is heel vriendelijk. Daarnaast is het een leuke plek om te zitten."
5,"Awesome fresh and different food, friendly staff and nice atmosphere "
5,"Consigliatissimo!! Menu Bio, insalate buonissime, pietanze di carne speciali. Il dessert cheesecake con gli anacardi favoloso."
4,Mandala Street 3rd floor so peaceful. Ordered a salad and the waitress was very attentive and offered cashews instead of walnuts. The food and fresh juice were great. However it took so long to catch her eye (it was not busy) after the plates were cleared that we opted for the bill rather than a cake dessert. Good for our waistlines at least. Lovely place to eat a light lunch.
5,"Tried our first dal bhat at Forest & Plate and it didn't disappoint. Food was great and the portions were plentiful. The team were also really lovely, attentive and helpful. Would also really recommend the cheese balls."
5,"I never really bother to write reviews, but wow, I can't not mention this one. A hidden gem in Thamel.. Tastiest salads I've probably ever tried, perfect mixture of ingridients, all veggies and fruit (veggies and fruits, in Nepal!!) are so fresh and full of flavor.. Pastas, meat, veg, seafood tasting platters, cocktails.. everything I've tried so far was tasteful and just delicious. All cooked in an open kitchen, ideal hygene, nice music and light, perfect, very kind and human service.. And very affordable prices. Thank you, guys, you are great! "
5,"Amazing spot, definitely worth a visit. Amazing food and friendly staff. The cats are cute too"
5,"Best restaurant I've visited in Kathmandu/Thamel district.
Fresh ingredients used in all dishes.
Well done!"
5,"Lovely Husband and Wife with their loyal/ talented staff has been growing Forest to Plate from a sprout to beautiful blossoming maturity.
Freshest Salads and so much more are available on the consistantly, delectable menu. Generous portions presented artisticly from the Forest to Plate.
Clean, open kitchen where you can see your delicious meal being created from the comfortable seating /eating area.
A  culinary experience that will delight your taste buds. Do yourself a favor and go.
Challenging to narrow down my favorite meal, although, if you were twisting my arm I would have to say "" GUACAMOLE  SALAD!!""
To day is the day to be good to yourself.
Enjoy."
5,"Great place for Western and Nepali food.  The pasta bolognese was tremendous,  as is everything else on the menu.  It's on the top floor...look for the stairs in a corner of this very nice enclosed area/walkway for shops and little restaurants.  The staff is very attentive and nice.  Overall, a very satisfactory restaurant experience, and we had great meals 3x out of our 8 days so far in Kathmandhu."
5,Place doesn't have much of sitting capacity so you may need to wait. Salads are amazing and you can enjoy fresh vegetables juices along with salads
5,"Ein nettes, kleines Restaurant im 3. Stock. Schone Salate, tolle Pasta! Freundliches Personal in gemutlichem Ambiente. Passt!"
5,"Abbiamo mangiato qui diverse volte. Qualita prezzo super. Lo consiglio.
Le polpette di formaggio sono una bomba."
5,"Absolutely love this place - delicious food, friendly owners and staff and great atmosphere (especially with the cute cats)!"
5,"The best restaurant in Kathmandu so far! Great environment, amazing food, very friendly staff and quick serving! :)"
5,"Namasteee/Lasso, this place, far away from our homes, felt like a little piece of home. In those five months in Nepal, we visited every time we were in Thamel and didn't even have to order because they remembered all our favourite dishes. It is such a lovely ambience, delicious food, great service and super personal. We loved this place and would 1000000...x recommend it if you are in Kathmandu. It is a hidden gem and well worth a try. We miss the great salads (no chicken add chickpeas;) ) So much love to you all from Camilla and Sophia"
5,"Forrest and Plate in Kathmandu is a must-visit! Fresh and tasty salads, just a delight for any food lover.The vibrant atmosphere and attentive service make each visit exceptional. Highly recommend this gem for anyone looking for delicious, healthy dining! "
5,"Premier fois a Kathmandou... Nous n'avons pas ete decus !!!

Les plats sont excellents ! Nous n'avons choisi que dans les specialites Nepalaises et sur le conseil de la maitresse de maison.

Les cheese balls, qui en elles-memes, peuvent paraitre tres simples et sans interet, sont a tomber et nous en avons repris. Le melange de fromage merite l'attention et la curiosite de le connaitre.

Jolie presentation des plats et un raffinement qui sont un regal.

L'accueil, le service et la gentillesse des gens de cet etablissement et des Nepalais, en general, sont inestimables.

Ne ratez pas cet endroit qui en plus d'etre bon, est beau. En terrasse et au calme c'est une parenthese enchantee qui nous est offerte.

De plus, il y a 2 chats qui ne dedaigneront pas les caresses que vous leur offrirez...

Peut-etre y retournerons nous avant notre depart. Et sinon ce sera de nouveau notre premier resto lors d'un futur voyage..."
5,"vkl t`ym mvd, mqvm shqt vrgv`"
5,"Very nice, tranquil cafe"
5,Wonderful quiet rooftop place with amazing pasta and good service. A nice reprieve from the hustle and bustle of the Thamel streets.
5,Very good restaurant with good services  I love it
5,perfect salad! 10/10 and fantastic service
5,"Great food, great atmosphere and good vibes !"
5,Very good food with a very kind waiter
5,"Dian Liao Yang Tui,Xian Nen,Zhen Shi Mei Wei ~"
5,I just love the food. Really tasty
5,Very tasty food and great service. Would highly recommend
5,"August 2025: super experience, super food, SUPER EVERYTHING.
Best food around, all the best from Italy "
5,Best around thamel great service great food
5,Nice Ambiance. Prakash Shrestha as a service person was very kind and helpful. I had amazing time in the evening
5,Very very nice place and nice service and amazing staff specially MR. Prakash he was amazing with customer service and support and definitely i will come back again 
5,Lots of thing has been changed here service is really amazing now and same goes to food its just mouth watering.
5,Best hospitality and food.
5,the staff were very attentive made sure everything was perfect by the manager himself and made us feel very welcome.we will be definitely coming back again.
5,Great food and nice ambiance. Sheesha is also very good. This restaurant is in the heart of Thamel
5,Lovely restaurant with lovely staff and amazing food !! What more could you want :)
5,It's a wonderful place to eat from they are neat and clean very nice food
5,Great chili momos
5,"Good restaurant, very delicious"
5,"Great ambience,service is very very good they knows when to approach the guest.Food needs to be worked out a Little bit honestly."
5,Its a real hidden gem inside the crowded thamel best food with the amaging service must visit place in ktm
1,"We have order margherita pizza momos and 2 veg thali.... Only momo are average in taste!
Other items were very disgusting"
2,Visiting
5,amazing place and Prakash was super kind and attending to the best!!! we loved the food and the atmosphere   thank you so much!
5,"Goat shank ochen horosha, rekomenduem. Imeet smysl prihodit za ezhoy v evropeyskom stile. Otlichnoe obsluzhivanie. Kokteyli tozhe ochen neplohie.
Spasibo za otlichnyy vecher!"
5,Great food great service by Prakash
5,Tutto delizioso e personale disponibile e adorabile
5,Prakash shrestha  was excellent in service
5,Peaceful ambience and food was really good i love this place i will come back again
5,A great dinner 
5,Very nice place for dinner. I had the platter which was fresh and also offered a wide variety of different foods. The lemonade mint tea was amazing as well!! Highly recommend.
5,"The food, staff & the service was really good,
Prakash took care of us really well.
Made us feel home."
5,"Das Essen und der Service waren exzellent - besonders das Paneer Masala ist von meiner Seite aus sehr zu empfehlen. Eine Empfehlung des Hauses: ein Stuck vom Karottenkuchen!

Die Kellner und die Bedienung sind sehr zuvorkommend und freundlich."
5,The food and the service were amazing. Especially Prakash was a very nice and helpful waitress. I had the Jasper Plattern and it was very delicious.
5,Very delicious pizza.
5,"Tasty Food & Great Vibe in Thamel

We stopped by Jasper Restaurant while exploring Kathmandu, and it ended up being one of our favorite meals. The place has a chilled, welcoming vibe - perfect for taking a break from the busy streets of Thamel.

I had the momos, which were fresh and juicy - honestly some of the best I've had in Nepal so far. My wife went for the Thakali chicken set, which was packed with flavor and came with all the traditional sides. My daughter  tried the classic chicken with rice - simple, but done really well and super satisfying.

The staff were friendly and made us feel at home, and we liked the option to sit outside and enjoy the evening. We decided to sit inside.
Prices were reasonable too, especially for the quality of food and the location.

If you're in Kathmandu and want something local but clean and consistent, Jasper is a solid pick. We'll definitely be back before we leave."
5,"Lovely place in a nice garden. Delicious momos. Can definitely recommend!
They also open and still serve food when most other places are closed."
5,"El sitio es un refugio de paz en la ciudad. Nos han tratado muy bien. El servicio es increible. Nos atendio Prakash. Es muy atento. Y la comida tambien increible. Nos ha gustado mucho. Tambien muy limpio.
100% recomendable."
5,REALLY NICE FOOD
5,Service was excellent and they have very good knowledge about how to treat the guest they were well trained and food was good but wasn't as we expected.
5,"Nice, love the garlic bread"
4,"Bonne petite adresse. Excellente pizza. Service un peu opressan, on se sent surveille en permanence. Presence d'un rat dans la cour pendant le repas. Pizzas un peu cher en comparaison aux autres restaurant et au cadre."
5,One of the best place to spend time
5,everything is good and delicious
5,Authentic nepali restaurant with awesome service..
5,Took chicken Thali. Great stuff.
5,Great taste of Nepali Thali.
5,Highly skilled service team and delicious food
5,Sab Dami Xa. Photo khichney thau pani xa. Pizza is delicious must try em.
5,"Vse ochen vkusno. Personal privetlivyy. Vidno, chto starayutsya!"
5,"Tutto perfetto, i camerieri sono gentilissimi. Ritorneremo."
5,Me and friends went on to try some chicken chilly and pizza. The chicken chilly sauce was perfectly tasteful and the drinks were refreshing too
5,Really amazing with really nice ambience i loved the food here must visit 
5,Absolutely loved Jasper Restaurant! The food was fresh and full of flavor. The place has a cozy vibe with friendly staff who really make you feel welcome. Great spot for both locals and travelers. Will definitely visit again!
5,Best restaurant in the town.....with the best service
5,Best Sekuwa Pub in town.
4,Went for a late night Dinner.. Nepali Veg Thali was good.
5,The food here is amazing and the atmosphere here is very pleasant and chill you would absolutely love the restaurant 
5,"Very Very good place , cheap and very tasty"
5,Amazing experience
5,"It's a cute place which u found randomly on google, and i tried veg thakali here which was insanely amazing. The service is good too, a person named Rohan made sure that my experience is great here. Highly recommended!"
5,The food was to good I like the piazzas if you are looking for good food around thamel I just wanna recommend you to visit jasper everything is worth it.amd especially thank you for rohan moktan who assist us very kind very polite love the service
5,"Food is very delicious. If you're looking for peace place, good service and meal then visit jasper restaurant."
5,Best place to be with great ambiance and lot of things has been changed here like service is in top class now.food is great over here you must try goat shank and platter for the best taste.
5,"Amazing place with great service, highly recommend. Shout out to Prakash Vai for an amazing service.
Thankyou to the entire team."
4,"Good place but little overrated in my opinion. The dishes kinda small and because there is a lot of people you barely have a place to sit and you need to wait long time until the food is coming.

Still 4 stars because the food was good and also the quality."
5,"We enjoyed the basil fried rice, steam momos and tofu tacos. Our waiter, Siva was very warm and attentive."
5,"Been here almost daily for a month, sometimes here the whole day, doing stuff on my laptop.

Lots of tourists come here.
You'll see new faces often.

Nice hookah lounge as well upstairs. They have a small assortment of wines as well.

Most polite and friendly staff."
5,We went there for corporate event. The manager and the team was super warm and accommodating of our needs. I would definitely recommend. The dumpling is amazing 
4,More of a modern and international vibe. Seating was lounging on floor cushions. Food was a mix of local and international and tasted good.
5,"Loved my experience at 4stories. The vibe was amazing and the chicken tikka masala pita sandwich was a solid 10/10 -- perfectly grilled pita, flavorful chicken, fresh greens, and great sides. Great food, great atmosphere. Definitely recommend!"
5,"Very comfortable place with good quality food, drinks and coffee anytime."
5,"The food is so delicious, fresh, health...Desserts are amazing it's one of my favorite places in Kathmandu for coffee, snacks, a meal. The host Roniyawas so helpful and kind."
5,"I believe this may be my new fave. The vibe, for sure in the evening, is just really cool. Good place to hang out and play games."
4,"Literally one of my favorite places to eat in Thamel. The staff,food,drinks,atmosphere are immaculate. One of the best matchas in Kathmandu for sure."
4,"Anish and prajwal were amazing--super friendly, attentive, and lmade our night with his great service. Highly recommend!"""
5,"Great service friendly staff.. great place to chill with amazing mocktails, cocktails & food you name it..shout out to Manish magar aayush and prajwal brothers"
5,"lkl hyshrlym
mqvm mdhym. vkl t`ym vmgvvn. vvyrh shl qblh bhbh vshrvtyvt shkbr l mvkrt km`t tslnv.
mmlyts bkhvm lkl hmtkhylym t mshm brts hmyvkhdt hzt lhtkhyl bms`dh hmyvkhdt hzv"
5,Bellissimo ci siamo trovati bene
4,Decent prices and big portions. Went there for breakfast. My food was a bit oily but it was tasty. Would like to visit again someday in the afternoon to taste their lunch/brunch menu.
1,I was disappointed with my visit due to the poor service. Our server was not only slow but also had a very rude and condescending attitude.
1,"Waiters were disrespectful, and also after complaining about the food they were being over smart"
1,Very disappointing food and service!!! Waiters are very disrespectful.
1,Very bad service. Staff not at all cooperative
5,"Excellent dishes
Best Environment
Peacefully separate rooms
Luxurious Deluxe Rooms for Couple
Polite & Warm Welcome"
3,Food was 3/5. I can't say it was really tasty. Avocado smashed was very bad quality. But design looks nice. A bit overpriced
5,"Loved it, came back several times with our teenage kids"
4,"Beautiful spot, decent prices and good food. But the service is a bit lame. Can be slow or a bit chaotic. Real shame and kind of weird cause there is like 1000 staff"
5,"Excellent atmosphere, great food but most importantly wonderful service.
I ate here for dinner yesterday evening, the food was great. I had a burger, chicken wings and a cocktail.
What impressed me the most was the service.
I had a young man named Shiva who was waiting on my table. He noticed that I wasn't eating the wings. I really didn't like the chicken wings (too much batter & not enough chicken).
I didn't complain but Shiva came to my table to ask me if there was any issue. He took my feedback, then went back to the kitchen to speak with the Chef and then returned with something much better.
Shiva really cared about my experience and made me feel valued as a customer. Definitely I will eat here again."
5,"Vraiment excellent ! Meilleur petit dejeuner a l'occidentale de Katmandou.
Je recommande les pancakes (fluffy cloud cakes), vraiment delicieux et aeriens.
Le iced mango matcha est excellent aussi.
La salle au premier etage est tres agreable.

Nous etions egalement venus pendre un verre le soir, leurs cocktails sont tres bon."
5,"We had an amazing time at 4 Stories, Thamel! The Sexy Chicken Dumplings were juicy and packed with flavor, while the Meat Lover Pizza was loaded and satisfying. The Iced Berry Latte was refreshing with a fruity twist, and the Matcha Blueberry Latte had a unique, creamy blend of matcha and sweetness. Great rooftop vibe, good service, and totally worth the visit "
5,"Se espera que la comida sea de 10, y lo supera con creces, esta todo riquisimo. Pero lo que no te esperas es un servicio como el suyo. Cada uno de los camareros y trabajadores son extremadamente hospitalarios, amables, y cuidadosos. Eso hace que toda la experiencia sea increible y super agradable, he vuelto varias veces y lo seguire haciendo. 100% recomendado."
4,Drinks were amazing but the food were ok-ish.
5,"Relaxed yet bustling, calm yet energising.. this preppy spot embraces the paradoxes beautifully.  An aesthete like me can feast on their minimal yet tastefully done-up decor, and still have an appetite for their large selection of food and beverages.  Special shout-out to their barista staff: I've had coffee in a lot of countries, but never seen such a beautiful lion in my latte cup before!  Definitely coming back here again on my next visit to KTM "
5,"Pretty good food in a trendy, relaxed environment! The service from Bikram is always great. He is very professional and knows how to make a customer feel valued."
5,"We loved this place and came back multiple times, the atmosphere, staff and food were all very great. We were served by Bikram and Nishan and they were both extremely friendly and provided great service! We would 100% recommend!"
4,Nice place to chill
5,Manish magar - Superb Place and for 2days superb hospitality from our brother right here. Kudos to the team for the nice food and hospitality. Need to try most of their food here. It is nicee foshoooo!!
4,Everything was superb....I wish they cud add some no onion garlic options too. They seemed to b quite rigid in making any alternatives for those with spl dietary requirements !
5,worth it
5,I love this place! Staff Nishan and Bikram are epic. Cool pillows to sit on!
5,Nishan goated frfr
5,Great place! Good food and good taste and good service !
5,Breakfast was super delicious with varieties 
3,Atmosphere is great and it's good for photos. But the food is only ok.
4,"This seating here is very beautiful. The first time I sat on the balcony with friends, the second time on the floor with cushions. I ordered 2 pizzas the first time, it was ok, I have had better pizza. We also got custom requested chocolate lassi, which we appreciated, but there was not much chocolate taste. My friend liked the matcha. The second time I got nachos and a smoothie bowl. The food was ok, you mostly come here for the atmosphere."
5,"Perfect vibes with great western food
If u r foreigner that highly recommended
Xiang Nian Xi Fang Shi Wu Jiu Ke Lai Zhe
Han Bao Pi Sa Du Hen You Xiu Kong Jian Ye Hen Shu Shi"
5,"4 Stories has become a part of my daily routine during my stay in Kathmandu! The food is amazing but mostly keep coming back because the staff is so lovely. Big shoutout to Nishan and Bikram, their smiles and wonderful energy everyday makes my morning"
5,Nishan gurung was a wonderful server. I enjoyed my eggs on toast and banana smoothie very much. 4Stories is a peaceful start to the day.
5,Best food n matcha- Nishan was also really kind :))(
5,Great place to hangout and have your snacks.
4,they have a single washroom for both genders that too infront of entrance in first floor. i found it unhygienic and weird.
5,"Sehr entspannt, sehr lecker und der perfekte Ort um zu entspannen oder eine ruhige Zeit mit Freunden zu verbringen."
5,Bikram is really great! The full space has great food really good music and atmosphere really wonderful place to go to!
5,"We LOVED our experience in the cafe/restaurant! Super pretty and a lovely atmosphere (but indeed quite western - lots of tourists, which we didn't mind that much though). It was a great spot to chill, read, eat and just have a relaxing time in this big city. Also great food with loads od vegetarian options."
3,"Used to be really good but recently tried their smoothie bowl and it was such a big disappointment.
Waitress took too long to bring two smoothie bowls. And when she did, she brought one then took another 30 mins to get the other.
It's a busy place so you don't really get a table so be prepared for that.
A foreigner hub."
5,"And absolute gem of Kathmandu .
Lovely staff, makes you feel welcome, very genuine and friendly.
Sitting area (sofas) on the second floor are highlight of this place .
Good food (excellent selection)
Great place to spend a day reading, studying, chilling ...
Will be back!"
5,Very cool place. I try vegan pitza. Manish Neupane thank you :)
5,Super good breakfast and Very good service by Nishan thanks
5,"Best place in Kathmandu. Beautiful design, very friendly stuff. Especially Manju has conquered my heart by her very friendly and professional service. I love the very healthy Smoothie Bowls
 a place where I want to go again and again !! "
1,"Truth review!!!
I saw this place on TikTok as a top matcha in Kathmandu. I went there twice and ordered matcha, but both times, the flavor and presentation were terrible. Matcha is supposed to be green and have just pure milk taste. The service was equally poor. I informed the worker that I needed more matcha because it tasted like milk, and he said he would bring more, but he didn't. Meanwhile, the ice had already melted while I was waiting for the matcha. I didn't even drink it. I do not recommend this place."
5,"Nice place to sit and chill out...
Staff was very friendly and helpful."
