Review,Sentiment
well let us cut this review short over all it is acceptable yet is not as expected near to most of the main hotels there affordable npr and within average ordered dhal thali two mo mo s one pumpkin soup dhal with roti humble host and kind you can ask for his help preparation of food will take more than expected for a fast food the restaurant is located on a very noisy road non stop honking and cars passing by food taste was not as expected service could be in the slack side when it is needed at times overall it will get three starts rating just be mindful when reading reviews around the country it could be misleading sometimes,Positive
belle decouverte pour le dejeuner dans ce restaurant super accueil et bons plats je recommande,Positive
nice,Positive
nice stuff good food,Positive
excelente comida muy rico el te y el desayuno ademas de que es bastante barato pero lo mejor es sin duda el dueno muy amable y servicial,Positive
we went because of the good reviews food was not as expected tasty okish and quantity was too less as per price,Positive
great food for a decent price and the owner is very friendly,Positive
mqvm mvlh m vkl tym hblym mmsh nkhmd mvmlts lkvl c momo vdl bt nkhnv khzrnv pmym mrvb shhbnv t hvkl vhyrvkh,Positive
msdh mvlh htsvvt shyrvty md m nglyt mtsvyynt mvmlts lkvl mvmv sndqv vdl bt,Positive
im staying at hotel mega and have eaten often at fusion himalaya the food and service are consistently excellent the veg dal bhat is amazing exactly what i meant when i said no chili but other spices are ok it was a beautifully flavorful meal i highly recommend this fusion himalaya cafe thank you fusion team see again,Positive
extremely fast and really tasty owner is kind we missed that good service highly recommend,Positive
petit resto aux portes de thamel qui propose des plats nepalais a des prix tres correct autre bon point le responsable est tres accueillant nous recommandons,Positive
excellent thenktu soup service is fast and owner is really nice,Positive
delicious food peaceful atmosphere and a really friendly owner i recommend this place,Positive
vkl mtsvynmkhyrym mtsvynymhmqvm bmt mmsh nqy vrvym shysh hshqhhbl mqvm mmsh nkhmd vdg ly hrbh,Negative
good food reasonably priced was our favorite restaurant for dinner,Positive
nicely decorated and good food too,Positive
mqvm mdhym m mvmvs mvlym bmrkz bvv bhmvnykm hshyrvt mmsh tvb mqvm qtn bl vvyrh mvlh mmlyts mmsh,Positive
best food in kathmandu,Positive
delicious chicken pasta had to keep coming back many thanks to raj,Positive
cucina nepalese buona ed economica,Positive
excelente restaurante con comida de gran calidad y muy variada el lugar es acogedor y todo el personal muy simpatico felicitaciones raju,Positive
food was nice but more costly than other places in thamel for the same quality and test owner is super nice,Positive
delicious and cheap thats just good value,Positive
we have been fusion cafe for dinner the first day and we had wonderful meal and best service so it attract us more then times everyrhing were fantastic all times so we recommend to every food lovers to have yummy food in peace invironment and friendly service best choice to have hygiene food and meal in kathmandu,Positive
food was amazing the panak paneer plate just so tasty owner was really kind and made us feel welcome can not recommend enough,Positive
this was our first meal in nepal we absolutely love fusion himalaya and raj he recommended food for us try and genuinely cared about our well being we will be here every day until we leave because it was that great we had every style of momo def get and the traditional tibetan noodle soup everything was amazing,Positive
tres accueillant repas excellent avec un rapport qualiteprix au top,Positive
bestes essen momos dal bhatuswfreundliche bedienung war schon oft da empfehle ich wirklich gerne weiter,Positive
highly recommended,Positive
best food here thank you see you,Positive
super accueil proprio tres genereux et nourriture tres bonne javais juste assez dargent pour un steam momo mais le proprio ma propose dessayer le chilly momo plus cher pour le meme prix les prix sont tres raisonnables je reviendrai,Positive
superb owner with super food thanks raj,Positive
we had a very great time there the food was tasty and the owner is very nice moreover the place is welldecorated,Positive
pleased to learn fusion himalaya cafe restaurant has resumed its service after covid has calmed down i visited this restaurant today due to circumstance they only had selected menu i tried with a plate of chicken momo and a cup of milk tea i found same delicious taste and the owners behaviour is also same as before they have maintained their quality of food taste politeness and professional customer service i would strongly recommend others as well to visit and taste the food at a very reasonable price,Positive
best,Positive
nice,Positive
they had nice service and the food was quite good as well its very worth the price even for nepal,Positive
this is my first experience in any restaurant after lockdown and here for fourth times found same thing after and now they have same energy about work same dedication and same smile like nothing happened they have small menu for now and i had mamos and beer see you again happy faces thank you,Negative
ok,Positive
best food in kathmandu,Positive
nice and really great owner raju best food in kathmandu city thank you fusion team,Positive
really nice exprinces i visit kathmandu couple of month ago before covid i had really nice experience in this restaurant food was delicious and tasty i highly recommend,Positive
i had an very delicious meal there the crew was friendly sometimes even a bit too friendly for my taste the price was suitable i absolutely can recommend the fusion himalaya restaurant,Positive
really good place in kathmandu fresh food best momo,Positive
good food,Positive
para mi el mejor restaurante de comida local de kathmandu cenamos todas las noches ahi durante mi estancia en la ciudad lo descubrimos por casualidad y fue un gran acierto toda la comida buenisima recien hecha y a un precio inmejorable recomendar los steamed momos de pollo y la thukpa el personal muy atento y simpatico recomendable,Positive
very good foodcold local beer with normal pricefriendly nice staffi recommend it for everybodynice atmosphere too the boss is always helpful,Positive
this is a great family owned cafe with quality food and good prices had dinner here several days and also a very delicious veg burger veg c momo the food is good arrives fast and has a very affordable pricing the owners are very friendly and cozy people possibilities for sitting outdoors in the shade as well as indoors thank you fusion team,Positive
really friendly owner good momos good veg chewy buffalo is very chewy,Positive
not bad could be better,Negative
very polite waiter but still many points to grow sizzler was with dry chicken fried steamed momo was still spicey fruit salad we didt get it at all another chicken dish was almost without chicken nice lassi nice bean soup nice location,Positive
the food was really amazing and the service extremly polite and kind we will definetly come black here dont miss the thenthuk its awsome,Positive
very good food for reasonable prices the staff was friendly and considerate their momos are tasty especially the c momos and we really enjoyed their soups as well very worth a stop and very easy to get to in thamel,Positive
best food in kathmandu clan,Positive
good food good place great little restaurant with all sort of option on the menu for a great price cant think of anything wrong,Positive
buonissimo e personale spettacolo,Positive
un peu cher en comparaison a la moyenne de katmandou mais bonne cuisine,Positive
friendly yummy well priced,Positive
eumsig gagyeogeun jungjeoga maseun ggwae gwaencanheum dalbasi jeongmal ggalggeumhago masissge naom rassineun geunyanggeunyang ddentugi jeongmal masisseum,Positive
very polite service good food and very tasty lassi,Positive
chhetrpati,Positive
niao noxiong rou gurirutotikinthendukwozhu wen dotutimozui gao nimei wei sii niao noguriruhaiirihuretusiyuninatuta,Positive
great food great service good prices,Positive
mei wei sikutean i,Positive
great,Positive
we were very disappointed the service of multiple waiters was not friendly at all and it was very dark when we tried to turn the light on they asked us why we want light based on the good reviews here we were expecting a lot more wont go there again,Positive
perfect atmosphere and great food served by amazing people,Positive
really appreciative service from the restaurant owner raju actually we had a birthday celebration of one of my friends in the fusion himalaya restaurant the food was literary the best in thamel mouth sizzling chicken c momo chicken chilli chicken sizzlar and desserts our tummy was asking for more we really had an amazing food set in the restaurant and recommend to try it once the best part is when raju asks you how was the food and suggest customers if they are happy or unhappy so fusion himalaya restaurant is best,Positive
we found this restaurant when last in kathmandu a few weeks ago we ate here every single lunch and dinner great food and friendly service,Positive
best dal bhat of city,Positive
super nice owner who seems to really care if his customers enjoy their visit c momos are delicious the nicest we had in nepal,Positive
se come muy bien el local es agradable como el personal precio populares se recomienda,Positive
i had quite a lot of momos in kathmandu but none of them were as nice as the special c momos here i had the vegetable ones and came back for a second time and i will be back for the third and maybe fourth time the taste is incredible and if you like your food spicy like i do you can get some great spicy really spicy sauce the personal is really friendly and not too much like in other places highly recommended if you are looking for the best momos in town,Positive
good service and the momo c is highly recommended i had thenthuk and my partner had chicken dal and plain lassi the thenthuk is quite the fix just when the days temperature is starting to drop,Positive
best dinner in city,Positive
great place for food can get a little noisy and sometimes you have to wait for like mins to get a seat in my case i had to wait for around mins thats why stars other than that the place is good,Positive
they sell local food like dal bhat thukpa and thenthunk here prices are reasonable place is clean food took awhile to be prepared though,Positive
que ricos los momos fritos y el chowmei,Positive
the food here was sooo tasty the best food we had during our stay in nepal we ate mustang alu veg c momos and vegtable cutlet and it all was reaaaally delicious also the place itself was cozy and the staff were very friendly definitely a recommendation for your stay in ktm if we ever come back to ktm well be back at fusion himalaya restaurant,Positive
very small fairly clean terribly cheap rupees for a veg chowmein quick service,Positive
after weeks trying i found the best sukuti the thentuk is also really good,Positive
poco conocido sitio en kathmandu todavia pero sin duda el mejor restaurante de comida nepalitibetana de toda la ciudad es dificil de encontrar si no has ido nunca pero no puedes irte de kathmandu sin visitarlo atencion estupenda increible amabilidad y eficiencia de los camareros la comida esta increible deliciosa muchisima variedad para todos los gustos desde poco a muy picante comida de nepal tailandesa tibetana perfecto para probar un poco de todo el precio es de risa te dan ganas de pagar mas nosotros estuvimos y comimos platos postre y bebidas y no llego a diez euros al cambiounas rupias nepalis aproximadamente dejas obviamente bastante propina por la calidad y lo bajo del precio limpio bonito bien decorado comida buenisima nos gusto tanto que fuimos dos veces cerca esta la calle z buena para comprar souvenirs a buen precio de los mejores restaurantes de thamel para disfrutar la comida tipica,Positive
super tasty food and reasonable priced friendly staff i can fully recommend,Positive
best in food in city,Negative
it is amazing great food service ambiance the food is rich and nuanced some unique dishes such an exceptional experience at such a reasonable price should not be missed the only disappointment is they are closed on saturdays,Positive
best food in kathmandu,Positive
fantastic food and staff this is a fantastic place to visit the broad smile great food,Positive
the best tasting food we had in nepal we have come back many times the owner is friendly too,Positive
great restaurant amazing food charming owner,Positive
nice food and friendly staff,Positive
located on perfect walking street near by thamel,Positive
outstanding place my favorite is chicken c momo very tasty and not spicy for this wimp friendly service as well,Positive
amazing food,Positive
a great place to go to have dinner the food was good and it had great value comparing to the other restaurants in the thamel neighborhood lots of tourists there and the owner of the restaurant is quite friendly and he can give you advice on places to visit or just have a chat with you,Positive
loved it great people great food cold beer,Positive
great cozy place relatively cheap and really delicious the owner is super friendly i would recommend coming here,Positive
best restaurant in kathmandu especially recommend the veg c momos,Positive
vegitable thukpaga masisseossda h momoneun chickeneuro sikyeosneunde bbalgan soseu jjigeuni gimcimandu neuggim h,Positive
very relaxing cafe with fantastic food and coffee i had a great conversation with the owner while i ate and was able to take a break while i planned the rest of my day in kathmandu,Positive
mangiato benissimo atmosfera super accogliente e ragazzi fantastici,Positive
delicious c momos and tibetan bread with honey so good we took some to take away,Positive
tres bon,Positive
super nice and good food try vegetable c momos,Positive
if you looking for affordable price and tasty food this is the right place the staff very friendly i love their roti with massala butter cream tibetan bread with honey chilli chicken momo the place kinda small but its perfect for quick lunch or dinner,Positive
amazing place to have lunch or dinner the dhal bat is one of the bests we had in nepal and the owner is very very friendly and welcoming he helped us getting a taxi for the airport for a good price and also showed us how to get to some sightseeing stuff the ambience is perfect and the prices are fair highly recommend this place,Positive
it is a very nice restaurant with varied dishes and a fair price kind service and free wi fi,Positive
lugar muy confortable relacion calidad precio muy razonable la comida esta realmente buena con una carta variada y con la que disfrutar de los sabores de nepal ademas el dueno es muy atento y amable dispuesto a ayudar sin pedir nada a cambio recomendable de los mejores respuestas que probamos en nepal,Positive
un restaurante sencillo a simple vista pero da igual lo que pidas todo estaba bueno y recien hecho el precio es genial y siempre tienen una sonrisa vuelvo manana seguro k,Positive
nice place tried the chicken c momo was good,Positive
delicious food and really affordable definitely refreshing for us as we were ripped off earlier that afternoon with tourist prices its a humble menu and restaurant but serves impeccable food a must go,Positive
tres bon rapport qualite prix serveuse tres sympa,Positive
one of the best price per value in ktm for what ive seen,Positive
a wonderful and very recommend place run by raju a smiling and very helpful man great food best cmomos in town always one of the first addresses i go to to when i m on my regular kathmandu trips i definitely recommend the veg cmomos the alu sandeko and the dal bhat,Positive
highly recommended i have been here a few times and would not hesitate to return anytime the food was really delicious tried some local dishes all of them were excellent the coffee was wonderful the staff was very welcoming and kind the atmosphere of the place is great had the pleasure of meeting mr raju the owner who was extremely helpful and friendly i have seen local people eating here as well that is always a good hint i guess,Positive
delicious fresh food the alu mustang and the alu sandeko are wonderful as is the vegetable fried rice its right on paknajol marg so its easy to find the staff is helpful and friendly also the artwork on the walls is great and the place itself is clean and cozy,Positive
cozy and comfortable relatively small menu with good food at reasonable price,Positive
good one,Positive
nice,Positive
ijeongdo jeonce pyeongjeomeul badeul gosinjineun moreugesseoyo,Positive
excellent food and service at great prices,Positive
friendly staff and good food,Positive
tried many and this is one of my highlights in kathmandu service is super friendly food is delicius you cant leave nepal without trying dal baht nor thukpa there prices are fair compared to other cozy tourist traps they offer also continental food but come on you traveled thousand of milestry this tasty food we also ordered our food requesting not being spicy and they managed to do so so recommended for us,Positive
hier gibts die besten mu mu super aussicht auf den grossten stupa die vielen einkaufsladen bieten gute qulitat zu fahren preisen an,Positive
cheap food and attentive staff food was a little bit bkand but still good thukpa noodle soup is great,Positive
fusion himalya is simply the best vfm restaurant in kathmandu the food is really good and freshly made and the service is friendly and curteous also food prep and hygiene levels are up to western standards which unfortunately is not always the case in many small eateries in kathmandu the owner and staff speak english and have created an environment with a relaxed vibe that is very popular with backpackers trekkers and tourists a must try if youre visiting or passing through kathmandu highly recommended,Positive
great food with good price and very nice staff,Positive
nice place been there for diner family ambiance,Positive
very nice food people everything cheers to raju,Positive
amazing food for very modest prices recommended,Positive
best food in kathmandu,Positive
good place for the food,Positive
best and most reasonably priced spaghetti in town nepali set is also fantastic especially the veg curry,Positive
great food original nepalese dal bhat,Negative
the perfect place to eat excellent food and a price that is close to unbeatable,Positive
nous y avons ete plusieurs fois car les plats sont tous bon et laccueil chaleureux,Positive
best food we had in nepal and very affordable try the peanut salad,Positive
fantastic little restaurant on the edge of thamel both food and service excellent and so cheap,Positive
very good restaurant in katmandu excellent and fresh nepali food a lot of choice and very nice owner,Positive
ambiance is okay food are mostly adapted to western taste maybe thats why it rank high on tripadvisor,Positive
pouze pivo a kava,Positive
nice ambiance great food and excellent service keep it up the nepali thali was delicious,Positive
great place with a great atmosphere the food is delicious as is the nepali wine the staff are so friendly would defintely visit again thank you for a lovely evening,Positive
fantastyczne miejsce super jedzenie koniecznie trzeba przyjsc i delektowac sie jedzeniem,Positive
great for lunch,Positive
great food relax vibe and very friendly and passionate staff family business worth trying and encourage,Positive
i had my first meal in nepal at this restaurant my friends and i ordered a nepali set and a fusion himalaya soup to share we also tried momo the waiter didnt really speak english and they didnt repeat our order so our orders came twice we protested but they didnt seem to be happy about it overall the food was good though,Positive
good foods ok prices a little higher prices but has good quality foods and place to dine,Positive
good quality tasty foods stylish environment comfortable enjoyable location is just outside of main tourist streets easy to get to with gps map i had momo c with buffalo meat stuffed in each dumpling deep fried crispy shell covered by a rich flavor tasting thick tomato sauce kind of like italian pasta sauce npr costs a little more than other places but this is very good quality with a lot of tomato sauce worth a try especially if you like the texture an taste of meat balls in pasta sauce their fusion himalaya special soup is also good tastes freshly made with some cooked beans you can chew on npr though pricey for a small bowl of soup but worth it if you like good healthy soup in cold weather,Positive
pas la peine de chercher plus loin that is our canteen strongly recommend you have your lunch or diner here des repas traditionnels nepalais en plus ils sont super sympa,Positive
omg super yummy,Positive
best dal bhat ever great service,Positive
cheap and friendly,Positive
ok nepali fare nothing too write home about,Negative
nice and cheap,Positive
priyatnoe mestechko s otzyvchivym hozyainom on pochti vsegda v zale i rad vas vstretit vsyo bylo vkusno,Positive
shi wu hao chi wei shenggong ying ni bo er dang di pi jiudian nei quan bu du shi bai ren lu ke yong cancai liu dian duo jiu ke man wo men yong can ban xiao shi hou jue de hao chi xiang jia dian bei ju juexi wang wo men gan kuai yong wan li kaidan shang cai fei chang man,Positive
really good we particularly enjoyed the veg curry with rotis good prices too,Negative
one of the better places in kathmandu they dont serve halal meat though,Positive
great food and staff cheap af,Positive
food is delicious we came here times during our stay in kathmandou we recommend c momo and pakhoda place is clean and food amazing,Positive
one of the best restaurant in katmandu i tried so far i really loved their vegetable pakora and the c momo super yummy just ask them what they suggest you to try and enjoy the food its also cheap i will go back there again soon highly recommended to try,Positive
deux bieres des momo c au boeuf et un plat de chorwein au poulet a ete un menu qui nous a ravis a pour en plus un service tres sympa et efficace que nous vous conseillons daller apprecier tout cela pour la somme de roupies nepalaise nous revenons a katmandou dans quinze jours et nous viendrons gouter leur dal bath dont nous voisins de table ont apprecie assiettes vides a leur depart,Positive
we love this restaurant so much we ate here twice in a day we had lunch and had the dal bhat and c momos you cant go to this restaurant without having the c momos they are amazing we walked around the area at night trying to find a place to have dinner we were not feeling the other restaurants so we decided to just eat here again and try other food and we were not disappointed food is delicious prices are affordable and service is excellent we would like to thank raju for always keeping a smile and for making us try the fennel seed sugar combination after meal,Positive
fabulous meal tonight nepalese food best meal we have had so far on our travels visit if you can you will not be disappointed,Positive
momo c are delicious it is different from normal momo and must try however be prepared to wait for long hours during lunch dinner time,Positive
tres bon restaurant,Positive
great place delicious food and extremely nice staff some items on the menu are not offered anymore very fairly priced,Positive
correcte,Negative
the owners are always willing to help you out and when we were curious about one of the things on the menu they brought us a complementary try the momos are a must i recommend the veg in sauce enjoy,Positive
tracte genial i menjar molt barat la cuina tambe es molt neta i hi ha molt bon ambient sens dubte dels millors restaurants de katmandu per probar la gastronomia nepali,Negative
taste food,Positive
amazing food cute place tucked away chicken c momo with chili and chicken thukpa were great,Positive
we stumbled upon this place while looking for dinner the food was great both creative and comforting at the same time must try dish is the momo c chicken dumplings in a beautiful sauce the owner was so very friendly and happy to talk about the food and the ingredients also there were plenty of vegetarian options on the menu the place was nicely decorated cosy and clean just go there,Positive
what a fantastic experience it wasnt just the amazing and inventive food it wasnt just the simple but beautiful decor and not just the great service and friendly recommendations from the owner it was everything it all too make a great meal and great experience highly recommended,Positive
awesome,Positive
very good food very friendly and very good prices,Positive
great food and extremely cheap,Positive
delicious food big portions and super cheap prices the owner was super friendly and welcoming highly recommend,Positive
nice place good food,Positive
great foodpure indian taste cheaper than thamel streetmust visit,Positive
amazing food great indian taste only place we found in kathmandu where we could satisfy our indian taste pretty cheap also must try,Positive
really amazing alu paratha worth having it for sure prices are good but the service is great only had dinner and lunch here a few times so cant say anything about the breakfast but defs worth a try,Positive
amazing food and service this place has a local vibe but is still very clean and cheaper in price than most restaurants in thamel we have come here twice now and both times the food was both delicious and the owner was always friendly and caring the best veg curry ive had in nepal by far the food was too good to take a picture before eating it musteat place,Positive
one of the finest cafe i found in kathmandu food was really gud and the taste was so indian if i talk about ambience and music is was so lively and feels good to be here the guy at this place is so friendly that he took gud care of us and also told about the places we should visit in kathmandu one should really visit this cafe when u r in kathmandu,Positive
raju sera vous recevoir et vous mettre a laise ce petit restaurant sans pretention vous charmera grace a sa carte de plats indiens et nepalais les prix sont doux et lambiance agreable,Positive
great food at a great price their breakfast special is very tasty best i had in town food comes out hot and fresh plus their staff is very friendly highly recommend,Positive
delicious and friendly i highly recommend the pakaudaa holy damn very kind owner cozy great local music and strong wifi,Positive
amazing food delicious and very high quality great friendly service and relaxed comfartable athmosphere thank you i will come back soon,Positive
amazing breakfast the only place in town that makes millet pancake abd they do it very good nice and kind atmosphere very good prices for very good food,Positive
the food was fresh and amazing and the staff very welcoming,Positive
good and cheap we will be back friendly staff,Positive
its cozy and relatively quiet and the food is good raju the owner of this small restaurant really does his best to improve everything i bet chicken momos here are the best in thamel,Positive
lovely food and a very nice service and a pleasent atmosphere,Positive
i had my very first nepalese meal here in this restaurant and it was really good the curry in the dalbhat was kind of spicy for me but the lentils soup was mild and was a good combination the waiter was nice too,Positive
excellent restaurant with great freshly prepared food the service is amazing you will feel welcome and will enjoy the friendly talks and laughs with the owner and his family good nepalese breakfast with organic coffee,Positive
very good place very friendly staff and delicious fusion organic breskfast n and all the dishes and the music is very lovely,Positive
a great spot to enjoy lunch or dinner in thamel ive eaten here several times on this tripthe food is freshly prepared and delicious the restaurant is very clean and best of all the family that ownsruns this restaurant are such lovely and kind people the food and drinks are also very well priced they do a fantastic dal bhat i love their veggie c momos veggie momos in a chilli sauce with fresh grilled veggies as well and their sandheko peanut or bhatamas are my favourites are the perfect snack to share as a starter with some beer amongst your friends if youre looking for a great selection of himalayan nepali tibetan and indian fusion foods a friendlycomfortable and clean atmosphere and great prices this is one of the best spots around thamel,Positive
ochee chistyy uyutnyy restoranchik vkusnaya kachestvennaya eda redkost v katmandu i prekrasnyy servis rekomenduyu,Positive
i and my family celebrated our th marriage anniversary at this restaurant and cant believe that we had so much fun and great food most friendly owner raju with great smiles highly recommended,Positive
best restaurant in this area,Positive
amazing place,Positive
friendly owner great food chill environment right off of the street,Positive
just love it,Positive
i had a great time there and best thing you could feel those happiness smelling those flavours,Positive
delicious food with a small dining area price was also absolutely fine so we will come back,Positive
overall good food and good staffs,Positive
yummyate one got one packed stuffing was less as they were about to close,Positive
i tried this meal from here that was so tasty and yummy visit here,Positive
we really enjoyed our sandwiches at thamel doner kebab they were huge packed with generous and tasty fillings the staff was incredibly friendly and welcoming and guys you serve one of the most delicious mango juices weve ever had,Positive
the best doner kebab in town,Positive
delicious falafel wraps prepared with love and very kind service highly recommendable,Positive
really good,Positive
very tasty and delicious,Positive
every bite happiness cant get over how good this was craving satisfied,Positive
great,Positive
